FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
124,750,0.0,1997-05-01
125,750,12.0,2019-11-27
126,750,0.0,1997-05-01
127,750,0.0,1997-05-01
129,750,0.0,1997-05-01
130,750,12.0,1997-05-01
132,750,0.0,1997-05-01
133,750,0.0,1997-05-01
134,750,0.0,1997-05-01
136,750,0.0,1997-05-01
137,750,0.0,1997-05-01
138,750,0.0,1997-05-01
139,750,0.0,1997-05-01
140,750,0.0,1997-05-01
147,750,0.0,1997-05-01
150,750,0.0,1997-05-01
151,750,0.0,1997-05-01
152,750,0.0,1997-05-01
160,750,0.0,1997-05-01
164,750,0.0,1997-05-01
169,750,0.0,1997-05-01
170,750,0.0,1997-05-01
171,750,0.0,1997-05-01
172,750,0.0,1997-05-01
173,750,0.0,1997-05-01
174,750,0.0,1997-05-01
175,750,0.0,1997-05-01
176,750,0.0,1997-05-01
177,750,0.0,1997-05-01
178,750,0.0,1997-05-01
179,750,0.0,1997-05-01
180,750,0.0,1997-05-01
181,750,0.0,1997-05-01
182,750,0.0,1997-05-01
183,750,0.0,1997-05-01
184,750,0.0,1997-05-01
185,750,0.0,1997-05-01
186,750,0.0,1997-05-01
187,750,0.0,1997-05-01
188,750,0.0,1997-05-01
189,750,0.0,1997-05-01
190,750,0.0,1997-05-01
191,750,0.0,1997-05-01
192,750,0.0,1997-05-01
193,750,0.0,1997-05-01
194,750,0.0,1997-05-01
195,750,0.0,1997-05-01
196,750,0.0,1997-05-01
197,750,0.0,1997-05-01
198,750,0.0,1997-05-01
199,750,0.0,1997-05-01
200,750,0.0,1997-05-01
201,750,0.0,1997-05-01
202,750,0.0,1997-05-01
203,750,0.0,1997-05-01
204,750,0.0,1997-05-01
205,750,0.0,1997-05-01
206,750,0.0,1997-05-01
207,750,0.0,1997-05-01
209,750,0.0,1997-05-01
210,750,0.0,1997-05-01
211,750,0.0,1997-05-01
212,754,36.0,1998-02-19
212,750,36.0,1997-05-01
213,750,41.0,1997-05-01
214,750,0.0,1997-05-01
215,750,32.0,2003-12-01
215,805,32.0,2003-12-01
216,750,0.0,1997-05-01
217,750,0.0,1997-05-01
218,750,0.0,1997-05-01
219,750,0.0,1997-05-01
232,750,0.0,1997-05-01
283,750,0.0,1997-05-01
285,750,0.0,1997-05-01
286,750,0.0,1997-05-01
287,750,0.0,1997-05-01
291,750,0.0,1997-05-01
293,750,0.0,1997-05-01
