FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry,MeasureDescription
102,1454,0.3,2004-02-13,
102,990,0.5,2003-03-13,
102,415,1.39476,2003-03-13,
103,368,0.47759999999999997,1997-05-01,
103,348,0.5579,1997-05-01,
103,990,0.5,2003-03-13,
103,994,1.39476,2003-03-13,
103,995,1.194,2003-03-13,
103,1454,0.3,2004-02-13,
104,368,0.47759999999999997,1997-05-01,
104,348,0.5579,1997-05-01,
104,990,0.5,2003-03-13,
104,994,1.39476,2003-03-13,
104,995,1.194,2003-03-13,
104,1454,0.3,2004-02-13,
105,348,0.5579,1997-05-01,
105,368,0.47759999999999997,1997-05-01,
105,990,0.5,2003-03-13,
105,976,1.39476,2003-03-13,
105,977,1.194,2003-03-13,
105,1454,0.3,2004-07-07,
106,368,0.47759999999999997,1997-05-01,
106,348,0.5579,1997-05-01,
106,990,0.5,2003-03-13,
106,994,1.39476,2003-03-13,
106,995,1.194,2003-03-13,
106,1454,0.3,2004-02-13,
107,376,0.9551999999999999,1997-05-01,
107,983,2.388,2003-03-13,
107,383,1.19399,2004-07-07,
107,1489,1.25,2004-07-07,
108,344,0.63398,1997-05-01,
108,990,0.5,2003-03-13,
108,997,1.58495,2003-03-13,
108,1454,0.3,2004-02-13,
109,348,0.5579,1997-05-01,
109,990,0.5,2003-03-13,
109,994,1.3975,2003-03-13,
109,1454,0.3,2004-02-13,
110,368,0.47759999999999997,1997-05-01,
110,348,0.5579,1997-05-01,
110,990,0.5,2003-03-13,
110,994,1.39475,2003-03-13,
110,995,1.18343,2003-03-13,
110,1454,0.3,2004-02-13,
111,348,0.5579,1997-05-01,
111,368,0.47759999999999997,1997-05-01,
111,990,0.5,2003-03-13,
111,994,1.39476,2003-03-13,
111,995,1.194,2003-03-13,
111,1454,0.3,2004-02-13,
112,341,1.08199,1999-06-03,
112,383,1.3313599999999999,2006-07-13,
112,385,0.16229,2004-07-07,
112,415,2.7049900000000004,2003-11-26,
113,341,1.03128,1999-06-03,
113,415,2.57819,2003-03-13,
114,341,1.0354999999999999,1999-06-03,
114,415,2.5887599999999997,2003-03-13,
115,341,0.2894,1997-05-01,
115,383,0.35926,2003-03-13,
115,415,0.71851,2003-03-13,
115,1574,0.25,2004-07-07,
115,439,0.01447,2007-06-15,
116,341,1.05664,1999-06-03,
116,383,1.3208000000000002,2003-11-26,
116,415,2.6416000000000004,2003-11-26,
116,389,1.8491,2010-07-27,
118,385,0.14392,2002-09-19,
118,966,0.05,1997-05-01,
118,341,0.95947,2003-09-09,
118,415,2.39856,2004-05-03,
118,1573,0.1,2004-07-07,
118,439,0.0479,2007-08-14,
118,284,1.135,2013-06-24,
119,368,0.47759999999999997,1997-05-01,
119,348,0.5579,2002-09-19,
119,358,1.03128,2002-09-19,
119,990,0.5,2003-03-13,
119,994,1.39476,2003-03-13,
119,995,1.194,2003-03-13,
119,996,2.57819,2003-03-13,
119,1454,0.3,2004-02-13,
120,376,0.9551999999999999,1997-05-01,
120,983,2.388,2003-03-13,
120,383,1.19399,2004-07-07,
120,1489,1.25,2005-02-10,
122,341,0.3973,1999-06-03,
122,385,0.05959,2004-05-03,
122,801,0.03,2004-05-03,
122,1576,0.02,2004-07-07,
122,439,0.019870000000000002,2007-08-17,
123,341,1.03128,1999-06-03,
123,415,2.57819,2003-03-13,
124,341,1.0354999999999999,1999-06-03,
124,415,2.5887599999999997,2003-03-13,
125,142,0.5261,2019-11-14,
125,556,0.39130000000000004,2019-11-27,
125,383,1.28381,2003-03-13,
125,415,2.56762,2003-03-13,
125,941,0.5809000000000001,2019-11-27,
125,942,0.4562,2019-11-27,
125,990,0.5,2004-08-31,
125,992,0.6606000000000001,2019-11-27,
125,341,1.02705,2004-05-03,
125,1609,1.0522,2019-11-27,
125,1672,0.3471,2019-11-27,
126,341,1.02705,1999-06-16,
126,142,0.3427,2019-11-27,
126,383,1.28381,2003-03-13,
126,415,2.56763,2003-03-13,
126,990,0.5,2004-08-31,
126,1672,0.25120000000000003,2019-11-27,
126,556,0.28559999999999997,2019-11-27,
126,942,0.315,2019-11-27,
126,941,0.3836,2019-11-27,
126,992,0.4531,2019-11-27,
126,1608,1.0281,2019-11-27,
127,341,1.02705,1999-06-16,
127,142,0.1834,2019-11-28,
127,383,1.28381,2003-03-13,
127,415,2.56763,2003-03-13,
127,990,0.5,2004-08-31,
127,1610,0.68,2006-11-29,
127,1672,0.096,2019-11-28,
127,556,0.1057,2019-11-28,
127,942,0.1413,2019-11-28,
127,941,0.1973,2019-11-28,
127,992,0.2075,2019-11-28,
127,502452,0.25,2010-01-06,
129,556,0.35,1997-05-01,
129,142,0.46,1997-05-01,
129,990,0.5,2004-08-31,
129,1609,0.92,2006-11-29,
130,142,0.5,1997-05-01,
130,343,0.57481,1997-05-01,
130,385,0.08615,2003-03-12,
130,990,0.5,2004-08-31,
130,991,1.43703,2003-03-12,
130,1609,1.0,2006-11-29,
132,556,0.38,1997-05-01,
132,142,0.5,1997-05-01,
132,990,0.5,2004-08-31,
132,1609,1.0,2006-11-29,
133,556,0.48,1997-05-01,
133,142,0.61,1997-05-01,
133,415,2.32459,2003-03-12,
133,341,0.92984,2004-05-03,
133,1482,1.1,2004-07-07,
133,1609,1.22,2006-11-29,
134,341,0.50719,1997-05-01,
134,383,0.63398,2003-03-13,
134,415,1.26796,2003-03-13,
134,1574,0.25,2004-07-07,
136,341,1.01437,1999-06-03,
136,385,0.15216,2004-02-03,
136,415,2.53593,2003-03-13,
136,998,0.111,2003-03-13,
136,383,1.26796,2004-07-07,
137,341,1.01014,1999-06-16,
137,378,0.50507,1997-05-01,
137,385,0.15152,2004-02-03,
137,999,1.26796,2003-03-13,
137,1000,2.52536,2003-03-13,
137,1467,0.15,2004-07-07,
138,341,1.00592,1999-06-16,
138,378,0.50719,2003-03-13,
138,385,0.15088,2004-02-03,
138,999,1.26796,2003-03-13,
138,1000,2.51479,2003-03-13,
138,1467,0.15,2004-07-07,
139,341,0.9721,1999-06-03,
139,385,0.14582,2004-02-03,
139,415,2.43026,2003-03-13,
139,383,1.21513,2004-07-07,
139,428,0.29164,2004-09-02,
140,341,1.06509,1999-06-03,
140,383,1.3313599999999999,2003-11-26,
140,415,2.6627199999999998,2003-11-26,
140,385,0.15976,2004-02-13,
