Food-Group-Name,Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
LUNCHEON MEATS (CANNED & COLD CUTS),32,Female,51-70 Years,2314,12.85766524,6.178003326,0.769050901,F,F,F,F,45 E,9.262242178,0.088910916,0.011564292,F,F,F,F,0.66 E,0.111433676,48.04918476,4.131387588,29.99256915,3.997275973,99.61260772,8.952868188,147.2 E,33.25643522,0.691501255,0.064980547,0.478675372,0.063804677,1.413645217,0.130921708,2.13 E,0.423077456
LUNCHEON MEATS (CANNED & COLD CUTS),32,Female,71+ Years,1448,16.06714279,7.936702781,1.164129882,F,F,30,2.165993165,58.42 E,10.03177038,0.124950311,0.020047992,F,F,0.435171288,0.049488128,0.75 E,0.128295733,49.39710118,4.621839333,31.25859039,3.212605185,109.83 E,20.60917156,128.58 E,24.48789904,0.777675982,0.087086815,0.488091105,0.047577644,1.54 E,0.430445389,2.46 E,0.440419624
LUNCHEON MEATS (CANNED & COLD CUTS),32,Female,19+ Years,7138,14.0600922,6.540591104,0.467225834,F,F,18.19 E,5.399747579,51.57724966,6.040109348,0.098765557,0.007501447,F,F,0.27 E,0.066147822,0.699295975,0.068974107,46.51883508,2.102407552,30,3.090563316,90,6.286435539,119.6737722,12.24611638,0.702453125,0.035863142,0.480511435,0.027202712,1.438273635,0.080620071,1.954126573,0.238978291
FISH ,34,Both,All ages,19670,13.73393132,13.77417748,0.645808671,F,F,46.58239181,5.970375926,105.6948695,7.291088857,0.218516716,0.01067676,F,F,0.712649516,0.069278272,1.593442086,0.064099559,100.2930418,2.903625462,80.02309845,3.450776491,192.5004495,7.198790159,247.9844859,8.675131478,1.588485537,0.053189009,1.242042675,0.03985459,3.124923327,0.166063587,4.083582084,0.22054263
FISH ,34,Both,1-3 Years,1288,13.63810709,7.52 E,1.353350977,F,F,F,F,67.31 E,15.72357369,0.506274887,0.084259856,F,F,F,F,3.986704246,0.647098701,55.14243297,6.015063854,F,F,118.51 E,23.39200881,143.4049472,14.68917595,3.524864374,0.347071955,2.82 E,0.615779307,6.354954259,1.02868578,8.430389652,0.956235327
FISH ,34,Both,4-8 Years,1199,11.06238429,7.86 E,1.640045209,F,F,F,F,42.1 E,11.74903347,0.35 E,0.077256415,F,F,F,F,1.61 E,0.530776476,71.03956717,11.24419994,40.21 E,8.483037696,173.45 E,47.68642558,282.2 E,74.594443,3.13 E,0.52579979,1.51 E,0.380754035,6.75 E,2.021200554,F,F
FISH ,34,Both,9-13 Years,1962,9.040472672,6.451146738,0.840205217,F,F,F,.,51.69122631,8.213441245,0.158439559,0.020565519,F,F,F,.,1.333578056,0.20870131,71.35851158,6.759487555,57.93604824,4.97056411,151.1918764,16.18769726,190.98 E,50.20196181,1.752558351,0.164032576,1.401386757,0.153449403,3.436976642,0.281674943,4.25 E,1.207739754
FISH ,34,Both,14-18 Years,1890,8.883331359,10.44 E,1.826136984,F,F,F,.,70.97 E,13.36911408,0.16 E,0.027763125,F,F,F,.,1.2 E,0.242459372,117.4729521,14.57920118,79.61421595,12.27244856,189.54 E,50.70568736,385.84 E,115.2401471,1.822632641,0.202719925,1.410239348,0.176191665,3.37 E,0.892849492,6.609108081,2.201505915
FISH ,34,Both,19-30 Years,1849,9.711677353,11.78 E,2.269873555,F,F,F,.,86.86 E,17.61422806,0.18 E,0.03742092,F,F,F,.,1.28 E,0.237757356,121.2783237,16.09342847,88.26896665,11.31815209,247.73 E,64.52654443,334.35 E,107.9942354,1.810591023,0.283903952,1.290197383,0.157138886,3.71 E,0.9122084,F,F
FISH ,34,Both,31-50 Years,4389,13.39751838,14.28748255,1.216090185,F,F,50.22 E,9.514815126,119.9722247,11.40987418,0.196795863,0.018119584,F,F,0.72 E,0.141883571,1.485526466,0.129184556,106.6427538,5.417245859,89.92436053,8.889242964,207.7949786,12.29215989,250.9543353,8.689300233,1.468897876,0.08914721,1.185583428,0.080775786,3.032657143,0.322223394,3.925357527,0.37950115
FISH ,34,Both,51-70 Years,4465,18.1940693,18.31560237,1.426084596,F,F,76.49993603,7.899786502,129.8731884,10.54862847,0.24035873,0.018207735,F,F,1.070074192,0.12460304,1.769884489,0.094292478,100.6679818,4.544112527,84.54188199,5.416293066,185.9329802,9.875801651,236.9894454,17.37690881,1.321082856,0.056373176,1.195285345,0.072493143,2.468195576,0.16219629,3.026867924,0.195952878
FISH ,34,Both,71+ Years,2628,15.18628392,13.96001813,1.156070707,F,F,56.58092897,7.504672496,103.3189571,9.955497485,0.1897748,0.015600704,F,F,0.758157536,0.104241973,1.405383068,0.112834643,91.92517538,4.918403387,75.26083975,4.509625966,174.6887188,16.51373526,223.342271,18.14646884,1.249646066,0.063670384,1.057916882,0.064917069,2.418235987,0.171762523,2.79389909,0.308070932
FISH ,34,Both,1-18 Years,6339,10.32631539,8.165912837,0.754215261,F,F,F,F,61.85914135,7.764961998,0.266954543,0.026736756,F,F,F,F,1.729602618,0.132809849,79.07866967,5.653067798,57.02345568,5.874841141,161.1706945,15.95877489,199.82 E,50.50590281,2.566921126,0.193569007,1.700057634,0.087979691,5.523595423,0.824998038,7.842808613,0.882624294
FISH ,34,Both,19+ Years,13331,14.57087338,15.15161927,0.774172167,F,F,58.35840382,4.613918105,119.9164229,5.709855284,0.206761447,0.011232021,F,F,0.758770177,0.07303216,1.561310078,0.068418363,103.9856629,3.186307459,84.99974608,3.590447266,201.8593686,7.782645769,250.6025301,8.642899435,1.41900517,0.050823393,1.187579534,0.043328641,2.704490474,0.13482981,3.484291069,0.220472466
FISH ,34,Male,9-13 Years,1023,9.0567745,6.53889815,1.060392285,F,F,F,.,60 E,10.06788098,0.160522421,0.025447877,F,F,F,.,1.400578166,0.220842854,72.19897272,7.108226949,63.25543118,6.427641283,145.1737505,21.55625032,156.0808998,19.35910731,1.772401651,0.168476727,1.475904474,0.181328027,3.449512761,0.250287725,3.58457574,0.147745927
FISH ,34,Male,14-18 Years,900,7.775973281,10.86 E,2.677821278,F,F,F,.,F,F,0.15 E,0.034954425,F,F,F,.,F,F,139.68 E,28.32369621,109.3779243,17.19150898,F,F,F,F,1.93 E,0.352876147,1.681454926,0.186371434,F,F,F,F
FISH ,34,Male,19-30 Years,857,8.449268736,11.46 E,2.415748072,F,F,F,.,F,F,0.15 E,0.033109484,F,F,F,.,F,F,135.6166721,14.37986412,137.12 E,25.79237587,262.76 E,49.79478113,275.84 E,81.59022357,1.812148634,0.201591084,1.74 E,0.353541424,3.589260959,0.55867899,4.122471637,0.587946695
FISH ,34,Male,31-50 Years,2005,12.67690988,15.9593505,1.89170634,F,F,54.44 E,16.92865446,140.7050485,14.2504958,0.189568891,0.022412002,F,F,0.72 E,0.226791285,1.48411621,0.12226879,125.8930658,7.545224208,119.9511321,12.71045362,233.5490197,12.996332,253.5415697,23.14232149,1.495387222,0.09172177,1.348591768,0.111703729,2.704215865,0.277556323,3.286110429,0.271301675
FISH ,34,Male,51-70 Years,2151,19.34154019,21.83204071,2.434466668,F,F,94.84 E,16.19317077,153.0588361,11.67609949,0.267175779,0.029705563,F,F,1.193839127,0.190454623,1.812848086,0.10625509,112.8764333,7.139642038,95.58450019,10.65928885,190.773271,18.50699585,240.553472,23.37991184,1.381357309,0.088216424,1.207048498,0.128397992,2.580683201,0.250493682,3.322905428,0.275894685
FISH ,34,Male,71+ Years,1180,15.57052279,14.82591183,1.738535306,F,F,63.14726864,7.78811007,103.4269297,10.57582223,0.188174155,0.02200397,F,F,0.758980157,0.119414951,1.291079654,0.118836834,95.21781657,6.53798131,75.60862472,5.911517404,189.2308521,17.47517108,213.65 E,37.94679262,1.208528175,0.083786404,0.959504677,0.076263972,2.280107093,0.247222684,2.78 E,0.62125986
FISH ,34,Male,19+ Years,6193,14.43557153,16.97181395,1.144961745,F,F,63.93551742,6.679776702,140.9202899,8.74822177,0.208551758,0.014192913,F,F,0.793387312,0.103368737,1.614427966,0.093331627,117.5693938,4.131881426,101.9908317,7.694889673,214.4223815,13.04491628,261.5283527,11.19116581,1.444707316,0.053389033,1.264632345,0.076559567,2.643514285,0.148741305,3.396532852,0.15435938
FISH ,34,Female,9-13 Years,939,9.023315784,6.36 E,1.31690781,F,F,F,.,44.4 E,11.76121796,0.16 E,0.033467453,F,F,F,.,F,F,70.47 E,12.15575054,51.07 E,8.526763352,F,F,291.71 E,75.6599864,1.73 E,0.302679807,1.26 E,0.265200989,F,F,6.67 E,1.569167334
FISH ,34,Female,14-18 Years,990,10.05418359,9.99 E,2.366953905,F,F,F,F,63.05 E,10.99644201,0.17 E,0.042041239,F,F,F,F,1.13 E,0.234114917,99.31459502,14.61626742,63.00930897,6.819832027,189.71 E,32.61641225,246.66 E,69.90434636,1.732240138,0.263626039,1.12732061,0.160621737,F,F,F,F
FISH ,34,Female,19-30 Years,992,11.10954996,12.13199073,4.040446006,F,F,F,F,85.03 E,18.95360471,F,F,F,F,F,F,1.28 E,0.279218161,109.2 E,28.8979583,74.12 E,14.22728775,F,F,F,F,1.81 E,0.522731936,1.25 E,0.240971732,F,F,F,F
FISH ,34,Female,31-50 Years,2384,14.08711392,12.68756707,1.578283447,F,F,45.43 E,12.91626139,99.31620446,11.57867715,0.203711807,0.028432231,F,F,0.63 E,0.196568926,1.5 E,0.27997849,90.06505622,7.229968191,70.84214491,8.625986325,191.5295702,21.60328051,217.9197306,20.67083455,1.446086174,0.142458358,1.092154356,0.089765765,3.245973577,0.536995608,4.211195576,0.498210465
FISH ,34,Female,51-70 Years,2314,17.07273645,14.8792644,1.504617671,F,F,67.64511494,9.588676512,112.0834764,9.713564146,0.214152542,0.021074857,F,F,0.94 E,0.174465956,1.498741457,0.138658682,87.15219403,5.033665378,80.70851224,5.909374949,155.3869121,10.49594786,200.5341947,23.77136252,1.25435394,0.068016105,1.194498817,0.102003266,2.396599012,0.196321697,2.832983342,0.159464819
FISH ,34,Female,71+ Years,1448,14.88189889,13.27407743,1.431058787,F,F,45.59 E,12.34241111,101.994122,14.11546309,0.191042793,0.020723021,F,F,0.72 E,0.177733329,1.535504561,0.184912,89.19612697,6.532807921,75.166588,7.61828251,166.1678775,23.62504289,223.8926295,21.95618102,1.283725915,0.089812677,1.122378233,0.106576553,2.497843476,0.230201767,2.79489517,0.328961141
FISH ,34,Female,19+ Years,7138,14.70149912,13.3943316,1.034143204,F,F,50.25917816,8.238856807,99.35221747,5.793157262,0.205033009,0.017285036,F,F,0.723116116,0.114701435,1.494544488,0.096991304,91.1086107,4.896478375,75.13248186,4.215973927,169.8539353,17.39749894,224.4820049,18.11673448,1.394640149,0.086478991,1.132290982,0.05308409,2.818545318,0.221106736,3.693605404,0.365131591
FISH- LESS THAN 6% TOTAL FAT ,34A,Both,All ages,19670,10.36823293,8.435385097,0.482900536,F,F,F,F,67.4732133,4.512907377,0.133646327,0.007917788,F,F,F,F,1.046680364,0.081589294,81.35798215,2.919789586,64.12252596,2.989902003,168.4083142,11.25495123,220.3090858,13.11400503,1.286849839,0.052752533,1.019414692,0.055173836,2.595923957,0.119941767,3.484021311,0.157244678
