Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
APPLE ,40B,Male,19+ Years,6193,23.80100599,40.05887369,2.421764075,F,F,180.5663381,1.433661916,181.8832628,12.31241633,0.491200597,0.029404694,F,F,2.178247319,0.065800715,2.667303093,0.09507934,168.3074812,5.747076674,180.0657742,1.934225782,272.37 E,49.84506086,356.5688323,17.26470664,2.063780824,0.06778818,2.050736028,0.045211836,3.530233946,0.276417591,4.437382894,0.203104026
APPLE ,40B,Female,9-13 Years,939,33.39670763,57.36010545,5.238678418,F,F,177.7445077,4.255492307,222.93 E,46.57872328,1.40956503,0.132188556,F,F,4.885854097,0.344260125,6.186961675,0.316897429,171.7537731,8.492270463,170.4237111,11.81015004,325.2581674,53.44770204,353.8444249,18.57038159,4.220670628,0.221052834,3.819859526,0.134586998,6.666295212,0.386651845,8.864035881,1.417393562
APPLE ,40B,Female,14-18 Years,990,28.66910038,51.27139176,5.012755663,F,F,174.5179638,9.215378004,220.0163725,22.71355768,0.858633725,0.088333003,F,F,3.355087262,0.150956203,3.982855979,0.38937316,178.8385094,9.02541837,163.4200137,18.57998625,275.09 E,51.28825981,354.5741799,36.38673347,2.99497966,0.169190751,2.921468488,0.124285049,4.61 E,0.773342829,6.776390314,1.072964822
APPLE ,40B,Female,19-30 Years,992,18.7263098,28.84 E,5.750908025,F,F,147.7 E,43.16435732,174.8430983,21.71815889,0.45 E,0.078170963,F,F,2.23 E,0.59428333,3.319200642,0.350049367,154.03 E,28.8594262,152.12 E,34.42753583,F,F,411.67 E,119.3973683,2.384533058,0.393904693,2.28 E,0.515820554,4.69 E,0.833465726,6.08153173,0.966143566
APPLE ,40B,Female,31-50 Years,2384,23.10915811,35.31527032,2.867418346,F,F,166.7727371,15.22726287,179.2661845,4.259135081,0.527416029,0.042459596,F,F,2.528338411,0.150471309,3.286805503,0.148144634,152.8193721,7.235840473,162.8883268,19.07556261,220.64 E,43.70670885,353.9840062,33.7206631,2.282281451,0.109764004,2.316655712,0.128721603,3.810453528,0.370880012,4.757931503,0.215432211
APPLE ,40B,Female,51-70 Years,2314,25.30169692,40.79183077,3.115698426,F,F,174.8762978,7.123702231,196.6898012,18.58830894,0.604230792,0.047092231,F,F,2.659274153,0.138198495,3.261768054,0.140578747,161.2217192,6.506588916,170.9185957,11.12515782,248.3 E,56.42268706,357.3939372,21.6646267,2.388103827,0.100290818,2.43126675,0.072706559,3.950276277,0.350360572,5.173023934,0.461045958
APPLE ,40B,Female,71+ Years,1448,23.72660827,29.15380074,2.893948532,F,F,146.8852521,19.5338809,181.0716125,0.933025412,0.451061732,0.046467819,F,F,2.193064248,0.18868189,2.807502919,0.116583022,122.8738655,7.759718037,112.7111731,18.11279412,200.2702273,18.76344024,236.01 E,41.02468877,1.901079696,0.128270335,1.68469673,0.238221636,3.335620417,0.259998733,3.858500995,0.636487194
APPLE ,40B,Female,19+ Years,7138,23.22078037,35.28098146,1.940980356,F,F,180.3157615,1.684238549,181.753112,1.641151501,0.529808461,0.028462162,F,F,2.500595181,0.086351791,3.234289151,0.087158174,151.937105,5.45537127,179.8528224,3.365381003,233.4267167,29.10832538,355.9552042,13.08044979,2.281613506,0.079268848,2.316524152,0.070619612,3.948267192,0.256519505,5.068506441,0.23540566
BANANA ,40C,Both,All ages,19670,27.56921016,29.13181066,0.787820503,F,F,117.8876424,0.112357559,117.9908967,1.524713264,0.523212316,0.014122752,F,F,1.79069579,0.030381114,2.488298206,0.093174472,105.667919,1.52147308,117.8094871,0.190512874,135.9674996,0.985539057,233.4944342,13.70199233,1.896965548,0.034910237,1.531881097,0.025217361,3.324912701,0.094994669,5.17489846,0.226016905
BANANA ,40C,Both,1-3 Years,1288,38.36727335,31.7219422,2.36523306,F,F,117.6671133,1.55899609,117.9189286,1.661068613,2.444002319,0.180893609,F,F,7.908290925,0.426465084,10.40972573,0.643808474,82.67968879,3.371361499,67.88 E,11.74880633,117.9775146,6.399343469,139.05 E,25.26805002,6.171365486,0.264648716,5.619327445,0.318370944,10.89859873,0.42769834,11.55594286,0.53086731
